study_hours_per_day,focus_session_minutes,productive_minutes,distraction_minutes,idle_time_minutes,completed_tasks,pending_tasks,deadline_completion_rate,coding_hours,reading_hours,revision_hours,quiz_score,practice_questions,sleep_hours,break_frequency,focus_score,xp_earned,current_level,streak_days,skills_completed,productivity_score
1.26,31.5,61.7,263.3,146.2,3,13,37.57,0.0,0.0,0.64,51.15,5,6.55,8,30.78,2264,6,116,6,15.7
5.49,173.6,302.5,151.1,96.9,8,9,64.31,2.12,0.71,1.25,64.67,48,7.65,3,66.44,15134,35,219,30,62.62
6.5,180.7,313.0,101.7,84.2,12,9,79.02,1.97,2.54,1.9,77.58,65,9.76,3,84.4,16809,40,225,34,71.97
3.9,67.8,137.1,247.7,130.9,6,11,47.23,1.52,1.5,1.02,61.57,30,6.44,7,48.64,8059,16,125,12,37.64
7.09,193.6,362.8,88.2,51.1,12,5,78.64,2.49,2.62,1.66,83.39,74,5.74,4,75.76,16811,40,235,36,87.77
0.53,57.0,50.9,289.7,127.6,2,16,46.5,0.55,0.84,0.42,49.55,16,5.62,7,37.96,3227,5,65,5,15.83
3.5,135.4,166.5,170.1,92.9,7,14,49.92,1.72,0.69,0.94,45.31,40,6.8,8,47.22,5096,18,89,16,34.49
6.06,177.4,272.7,146.2,46.2,8,7,72.82,2.78,1.41,1.51,71.0,48,5.81,2,67.48,13354,27,193,28,71.89
6.62,216.1,354.0,137.8,114.6,7,7,67.42,2.64,2.19,2.26,72.03,53,7.61,4,73.56,13974,33,149,29,78.16
2.2,80.3,145.0,222.2,108.3,4,14,41.18,1.26,0.32,0.7,60.64,32,8.46,6,50.04,3975,9,29,10,27.7
7.68,266.3,433.2,42.9,59.4,9,2,81.47,2.78,2.5,1.89,83.68,66,8.2,3,94.42,19451,42,272,41,87.4
6.04,175.7,292.8,81.1,99.7,10,6,85.26,2.94,1.35,1.63,76.51,53,8.58,4,79.65,21192,34,233,35,75.73
6.87,205.7,377.9,80.5,48.7,10,6,84.7,2.78,1.73,2.18,77.77,87,6.94,2,82.79,21745,42,263,39,86.33
5.14,185.0,305.1,175.4,79.9,8,7,58.64,2.59,1.75,1.43,60.62,47,8.22,3,59.36,13272,26,161,25,68.48
8.01,217.6,352.7,109.0,14.6,11,6,81.61,3.33,2.25,2.44,80.75,86,7.57,2,72.61,21125,40,273,40,81.54
4.44,110.7,210.2,213.8,109.1,5,14,38.55,2.2,2.12,1.13,47.82,10,6.72,8,37.48,3709,12,87,7,37.61
5.15,182.1,269.7,201.4,61.1,6,6,73.84,2.26,1.34,1.24,62.02,52,6.59,5,70.35,11845,23,130,26,66.23
6.21,171.3,329.8,197.4,107.2,9,9,64.57,1.95,1.44,1.35,83.55,56,7.14,5,65.05,14616,32,181,28,73.08
6.83,225.0,381.0,163.8,72.4,7,7,43.47,1.89,2.17,1.89,70.61,35,5.14,8,58.42,8265,25,120,20,47.31
4.85,134.3,240.4,187.6,51.4,7,8,74.96,1.71,1.77,1.38,72.31,46,7.79,6,70.2,11912,27,161,23,63.83
4.66,123.8,237.6,173.0,102.0,6,10,73.82,2.08,1.18,1.18,60.0,38,8.89,4,57.37,9889,26,131,24,54.6
8.81,230.8,406.0,104.5,46.3,12,12,92.35,3.95,3.16,2.62,85.26,69,6.63,3,88.42,17897,39,269,37,87.55
3.48,110.8,177.6,150.2,81.1,4,11,59.48,1.84,1.87,0.9,58.18,32,6.36,7,64.7,6223,14,102,17,35.89
3.68,94.3,185.3,196.8,102.9,6,9,43.49,1.32,0.64,1.01,51.94,46,7.49,5,50.03,8303,10,189,16,45.49
4.38,114.7,214.4,154.3,61.6,6,8,57.75,1.57,1.56,1.73,67.53,40,7.4,7,61.92,11203,27,171,22,56.17
6.64,211.7,314.9,126.8,87.6,8,4,93.34,3.53,2.01,1.93,80.59,62,6.8,3,79.48,16674,38,242,33,80.19
5.69,138.9,257.1,195.4,95.8,7,9,61.49,2.39,2.52,1.4,76.34,51,8.59,6,68.73,12264,23,172,22,55.06
5.71,151.2,291.9,159.8,88.5,8,9,56.92,1.96,2.55,1.63,72.34,49,6.78,4,76.01,10358,30,186,26,63.48
4.28,101.0,223.5,195.2,120.8,5,13,51.33,1.14,0.88,1.08,49.19,36,6.29,6,47.58,7053,18,62,18,42.93
4.9,136.8,222.8,183.4,97.9,7,7,65.24,0.78,1.86,1.67,61.49,45,7.08,6,71.85,8069,27,192,25,51.55
3.47,33.7,65.2,260.0,115.6,1,13,38.02,1.92,0.62,0.59,46.06,25,6.54,8,39.55,7190,13,62,12,20.11
6.8,231.1,395.5,131.7,26.1,8,8,85.98,3.51,2.11,2.36,73.83,72,8.35,2,71.86,14115,35,263,31,76.6
6.81,222.6,353.5,111.7,41.2,10,8,81.88,2.22,1.7,1.66,90.76,67,7.06,4,72.42,18174,36,272,37,85.59
4.86,167.3,245.8,144.3,112.6,4,12,70.98,1.64,1.45,1.23,73.92,42,7.55,6,57.95,10109,22,248,26,50.44
4.3,116.0,209.9,296.8,139.8,6,16,48.45,2.65,1.2,0.96,62.44,42,7.41,6,53.38,9691,15,145,19,40.45
5.21,164.6,251.1,110.5,69.6,7,4,71.91,1.38,1.42,1.78,75.66,47,7.81,4,68.75,15168,26,261,29,80.46
5.23,151.1,254.3,182.6,93.3,7,9,66.34,1.84,1.88,1.66,78.21,45,7.55,4,65.69,12288,27,161,27,69.38
1.38,36.0,86.3,234.3,103.8,2,13,39.68,1.07,0.43,0.08,42.72,14,7.77,7,31.52,6106,3,103,13,21.3
2.89,69.6,125.9,127.9,77.2,5,10,41.93,0.97,0.45,0.27,60.12,28,6.41,5,49.63,9020,19,126,19,50.19
6.1,190.6,327.2,132.9,131.5,8,9,51.62,1.98,1.86,1.19,72.24,55,5.96,4,67.68,13873,24,181,22,67.14
5.61,165.2,247.3,227.1,82.9,8,8,64.17,1.52,2.31,1.84,80.32,66,8.49,6,77.91,14728,30,152,25,60.48
1.4,81.0,114.1,275.6,176.1,0,16,28.21,0.78,0.52,0.19,46.9,14,7.77,7,24.41,4211,7,29,1,11.8
6.87,180.9,383.6,127.0,91.2,10,8,78.98,3.44,1.72,1.82,75.39,57,7.39,5,68.16,17096,35,199,31,77.42
7.5,225.9,382.4,141.0,60.7,7,7,73.27,2.87,1.97,2.27,76.44,52,7.98,1,70.7,13044,32,196,33,66.79
6.8,208.2,355.6,16.7,79.3,9,6,74.42,1.83,2.26,2.08,88.97,59,8.43,3,74.77,14158,34,220,31,77.76
6.89,213.6,352.3,49.2,56.4,12,8,76.32,2.94,1.91,1.45,84.7,54,7.42,2,83.74,14937,41,267,39,87.23
6.13,186.7,274.5,120.0,85.8,12,5,85.99,3.26,1.86,1.56,86.81,65,7.16,2,86.8,18818,43,227,37,83.3
3.0,90.0,123.0,208.3,145.8,6,11,43.42,1.24,1.04,0.42,77.47,39,5.98,6,60.07,8174,19,69,21,41.7
6.42,160.0,273.3,148.0,17.7,8,6,80.54,3.03,2.07,1.34,81.33,63,9.73,5,72.08,14298,30,195,29,74.34
5.32,142.3,255.9,152.6,102.6,10,5,74.29,2.12,1.39,1.43,78.06,59,10.0,4,72.41,13727,36,190,30,69.93
6.95,222.2,409.4,97.8,25.3,10,7,72.44,2.91,2.22,1.4,82.79,61,7.38,4,76.87,17628,38,274,31,83.12
5.75,171.4,292.9,221.0,94.1,6,6,68.6,2.79,1.94,1.32,68.16,51,7.44,4,65.09,6439,29,154,25,58.49
4.45,110.9,196.6,83.7,90.5,8,8,68.87,2.42,1.24,1.71,69.3,47,5.76,0,77.25,16206,32,211,34,68.62
3.92,98.8,173.5,196.6,96.8,8,10,65.98,1.36,1.54,0.84,62.48,66,4.88,4,67.0,10647,30,212,25,47.04
3.23,74.8,83.3,136.1,130.3,5,14,47.95,1.1,1.89,0.48,53.47,11,7.92,7,45.12,3837,13,89,7,28.01
2.79,140.2,155.1,196.8,101.8,4,17,68.61,2.29,1.1,0.89,65.59,10,8.33,5,52.61,8236,16,144,19,47.41
3.55,127.4,184.1,206.3,127.5,7,13,51.05,1.88,1.51,1.14,62.52,25,9.04,4,55.05,9280,20,193,21,51.58
4.81,145.9,250.7,211.5,99.6,9,12,59.54,1.87,1.4,1.8,65.22,28,6.97,6,50.39,9227,20,198,17,48.91
1.93,51.9,94.0,199.7,136.6,1,11,30.25,1.57,0.76,0.16,51.61,21,8.64,7,45.83,4119,14,43,12,26.89
5.08,129.5,263.4,229.4,102.3,9,10,52.49,1.9,0.88,0.94,71.76,58,7.23,4,61.47,11892,22,165,24,62.64
4.16,76.1,148.8,261.4,135.8,7,14,55.2,1.2,1.47,1.18,45.77,26,7.84,5,55.29,6681,20,145,15,45.09
7.0,227.0,370.5,171.6,92.3,7,8,70.81,2.63,2.04,1.83,70.89,58,7.1,6,77.18,14469,26,204,24,70.0
6.37,187.6,307.8,196.5,60.7,7,4,69.42,3.11,1.69,1.38,81.97,59,6.35,5,78.45,17211,29,206,29,77.6
4.95,167.9,254.0,196.7,87.3,5,13,46.65,2.5,1.75,1.72,54.34,16,7.36,4,40.81,7996,22,90,13,40.58
0.5,34.6,49.2,199.1,161.1,2,16,41.16,0.73,0.19,0.09,47.49,10,7.27,8,29.69,4122,6,47,10,17.22
6.92,237.8,358.8,94.6,98.8,10,8,68.26,2.49,2.3,1.97,67.17,45,8.56,3,56.24,14096,31,189,32,64.88
0.91,38.1,41.0,226.6,147.3,4,12,36.13,0.0,0.12,0.13,40.22,0,8.05,7,28.32,4234,5,9,8,22.72
7.9,223.0,330.1,83.4,26.9,13,1,82.79,3.85,2.05,1.87,69.52,65,7.43,4,91.58,20066,39,257,40,97.68
7.41,228.4,387.6,34.1,69.0,9,3,79.12,3.25,1.75,1.98,87.49,75,8.95,2,80.64,18748,39,278,37,92.37
6.08,183.0,305.8,25.8,113.8,10,9,99.01,3.14,1.49,1.95,72.11,77,7.23,5,75.33,14919,28,239,33,79.83
6.19,165.4,325.7,146.7,69.9,8,10,52.41,2.28,2.02,1.63,77.49,37,8.79,5,57.39,11429,21,170,19,70.01
2.01,64.0,101.7,258.7,127.2,3,18,44.87,0.93,0.92,0.52,47.72,3,6.3,7,31.75,4952,10,61,3,27.96
1.71,84.4,109.4,311.2,112.1,5,18,30.83,0.77,0.04,0.42,43.93,0,6.14,8,31.76,2416,8,22,0,24.14
6.27,186.4,305.9,162.3,68.2,9,8,79.52,2.4,2.47,1.67,66.07,50,6.42,5,63.23,17289,31,169,24,72.96
6.58,187.7,322.2,109.8,40.2,9,8,77.07,2.84,1.27,1.95,87.08,66,7.25,4,88.38,18026,32,256,41,84.5
4.27,117.6,229.9,218.7,117.2,6,14,47.94,2.21,0.67,1.12,46.82,36,8.25,8,50.74,10190,16,102,10,38.91
0.62,50.2,8.0,237.1,145.3,5,15,50.65,0.07,0.0,0.0,46.85,18,6.78,7,43.34,1783,13,47,4,20.07
0.8,10.0,31.3,233.0,122.4,0,12,23.43,0.0,0.0,0.0,33.7,19,6.0,8,35.12,1556,8,24,6,14.77
4.27,127.1,225.2,114.6,99.5,9,9,74.69,1.19,0.63,0.88,61.16,46,6.03,3,61.02,11905,24,228,22,63.37
7.43,246.1,371.4,105.1,82.2,9,4,86.52,2.58,2.37,2.34,100.0,69,7.53,3,76.22,18804,42,247,34,85.97
2.67,101.6,143.2,198.3,131.1,5,13,46.52,0.69,1.05,1.36,51.22,26,5.74,7,40.05,6678,8,33,7,40.88
2.45,59.1,118.9,193.2,130.0,5,12,39.38,0.0,1.32,0.53,51.13,15,7.34,5,32.38,8749,16,85,7,34.12
3.32,108.9,133.5,174.9,73.8,7,11,58.38,1.33,0.97,0.48,74.07,42,7.31,6,51.57,9259,18,145,23,43.94
6.34,195.0,329.4,147.7,36.2,8,6,73.53,2.5,2.04,1.22,76.58,56,7.31,4,78.26,15843,36,212,33,76.56
4.67,131.5,242.0,130.5,86.7,8,11,72.3,2.94,2.24,0.92,65.17,53,7.21,3,61.25,13758,23,154,24,70.16
3.59,122.1,151.0,173.2,106.4,3,14,23.06,1.79,1.02,0.71,60.03,20,9.51,5,53.36,5813,8,3,8,30.9
6.82,140.5,276.1,169.1,98.2,10,11,79.74,2.6,2.04,2.52,55.63,49,7.4,3,71.39,14539,33,256,26,68.88
4.87,167.7,240.2,217.6,126.6,8,7,56.05,1.23,1.0,1.42,69.04,46,6.18,4,67.12,14340,27,168,25,57.97
1.69,21.2,59.0,323.2,157.0,4,14,23.73,0.77,0.73,0.66,36.88,11,9.19,4,43.3,5730,9,55,6,23.54
4.74,119.9,227.8,242.7,104.9,3,12,45.29,2.15,0.76,1.34,47.86,13,7.18,6,52.75,6289,12,120,11,39.79
5.04,130.1,244.3,212.7,158.4,4,11,48.26,2.08,1.47,0.95,58.69,41,8.4,6,50.75,11027,21,156,23,46.03
7.59,256.0,373.0,164.3,28.2,10,2,79.35,3.55,2.23,1.55,76.6,77,6.65,5,78.7,17401,45,207,39,82.79
6.39,228.6,351.4,99.1,71.0,10,8,77.82,2.5,1.23,1.27,81.84,60,6.37,2,66.94,14419,34,254,32,83.81
5.55,123.8,237.4,202.6,74.2,9,10,67.55,2.87,1.86,1.53,58.7,56,7.08,5,69.21,12695,32,234,32,66.02
2.34,69.0,108.3,201.6,83.3,5,14,54.17,0.49,0.85,0.54,52.96,24,7.18,5,42.99,8845,15,65,14,40.04
6.38,208.8,340.2,182.3,80.9,9,10,61.42,2.04,2.69,1.58,68.0,36,5.94,6,56.94,9735,25,125,22,64.54
5.61,177.8,329.7,193.9,83.0,7,7,57.96,2.45,2.16,1.15,72.72,60,7.64,3,79.78,12801,33,223,31,56.56
2.99,104.1,209.2,218.4,154.0,3,13,49.82,0.7,1.17,1.15,55.43,14,6.84,5,49.05,6366,10,110,15,47.64
6.9,215.0,353.6,114.2,96.0,7,7,71.67,2.31,3.1,2.01,67.49,56,7.46,2,72.67,12444,31,196,28,75.59
1.46,30.3,4.3,301.9,146.5,0,13,42.39,0.96,0.0,0.34,43.92,7,9.26,6,34.96,513,5,43,13,13.55
3.76,90.6,171.2,144.6,108.6,7,10,64.05,1.76,2.35,0.91,66.77,42,7.52,6,51.18,11749,22,185,16,47.4
3.03,107.3,181.8,205.7,168.1,4,16,46.61,0.45,0.32,0.61,43.86,19,8.73,9,40.48,2478,17,15,5,18.34
2.8,49.0,116.5,327.0,162.1,3,16,42.22,1.79,1.19,0.98,55.73,13,6.56,5,47.14,7558,12,64,5,28.57
2.39,96.5,136.6,206.7,127.5,1,15,34.84,0.53,0.63,0.06,41.29,13,8.76,8,26.54,5911,5,109,11,21.6
3.69,91.1,147.3,185.8,108.2,4,12,53.53,1.38,0.89,0.94,65.41,34,9.26,6,58.71,8422,20,165,18,39.6
3.68,97.0,205.1,78.5,84.7,8,12,75.1,0.93,1.16,1.07,69.36,40,8.52,5,59.27,11315,28,128,25,56.51
3.96,115.3,161.1,188.0,116.8,6,6,54.63,1.48,1.85,0.95,64.33,47,6.98,6,58.69,8310,20,180,26,50.31
2.79,74.3,97.5,151.1,115.4,1,14,46.38,1.7,0.79,0.77,60.4,19,5.93,6,46.55,5473,13,27,10,35.12
3.3,121.3,197.1,255.0,80.3,3,14,44.54,1.63,0.89,0.88,53.3,25,7.36,8,49.32,5023,12,76,14,21.23
3.12,134.7,212.7,220.5,120.5,2,11,40.06,1.64,1.03,0.71,59.74,22,7.73,7,43.96,10730,20,104,19,36.7
3.12,110.9,124.1,255.5,124.9,5,10,39.4,0.93,1.27,0.88,55.36,21,5.6,5,40.31,6097,19,148,17,29.45
0.78,10.0,0.0,255.7,95.9,7,10,39.41,0.29,1.18,0.21,62.75,9,7.88,8,38.33,4578,12,122,12,26.72
3.41,106.0,211.2,73.5,104.1,4,11,57.82,1.46,1.2,0.9,58.58,45,7.01,6,75.37,10788,26,96,22,54.88
2.54,70.8,121.7,253.9,165.6,0,14,38.63,0.27,1.25,1.06,50.06,5,7.34,7,34.3,4190,10,110,4,20.83
7.71,240.0,397.6,143.5,80.2,10,6,86.47,2.73,2.56,1.65,85.51,66,6.46,4,82.27,14229,35,158,32,79.69
3.33,77.1,193.5,115.3,131.2,6,12,39.35,1.69,0.83,1.24,60.16,45,6.42,6,48.4,10011,25,109,28,46.46
2.0,58.6,70.3,228.7,123.0,1,17,37.46,0.0,0.72,0.41,47.94,4,8.81,7,39.89,895,3,18,4,23.69
2.77,94.9,173.0,224.2,119.9,2,13,43.09,0.89,0.98,0.94,45.82,24,8.32,8,32.69,5407,7,99,9,22.0
5.22,165.9,284.7,98.7,78.8,9,11,65.21,2.55,0.85,1.14,78.96,75,6.69,4,69.74,12078,32,163,24,73.8
1.65,54.4,92.9,177.1,137.9,4,9,44.94,1.25,0.06,0.07,58.42,29,8.64,5,59.07,6201,18,97,14,37.21
6.82,186.3,336.8,48.9,44.9,9,2,90.51,2.19,2.23,1.86,76.3,71,8.32,2,86.88,18615,30,289,35,79.95
2.55,56.3,63.4,289.2,111.3,4,12,38.1,1.22,1.34,0.27,37.32,19,7.01,8,24.38,3406,10,54,12,17.31
4.43,68.5,165.8,168.4,67.5,9,11,71.59,1.7,1.14,1.19,63.23,37,8.06,6,75.43,8651,27,189,22,53.77
4.41,181.4,250.8,168.0,92.4,7,9,65.63,1.96,0.9,1.24,66.29,58,8.87,3,63.8,13621,24,238,25,60.02
6.31,150.5,312.7,188.6,80.6,6,10,65.54,1.65,2.07,1.85,77.12,52,7.19,5,68.01,14229,28,207,25,59.82
5.14,129.3,201.3,203.0,77.8,8,9,68.87,2.24,1.78,1.46,66.81,38,4.56,4,76.32,11657,20,194,22,58.64
3.37,95.7,166.8,248.7,143.4,5,11,37.85,1.87,0.99,0.71,53.94,25,6.75,7,46.17,4590,10,83,12,33.83
5.37,185.5,270.2,183.9,91.2,9,9,57.87,2.11,1.67,1.83,64.53,51,9.24,6,75.09,15171,29,276,23,58.73
7.38,238.9,384.1,34.6,88.1,10,5,92.38,3.27,2.58,2.23,85.64,83,7.73,4,85.49,20170,40,344,42,92.63
3.54,97.3,192.0,231.5,136.0,8,14,49.83,2.24,1.67,0.56,59.17,38,8.54,7,51.14,5295,14,160,11,36.17
4.03,110.1,220.2,158.6,104.1,6,11,54.11,1.19,0.88,0.96,62.84,44,4.95,6,53.98,10171,26,155,21,44.35
4.99,130.2,225.6,236.8,154.4,6,13,58.19,1.83,1.35,1.2,64.65,36,8.93,6,51.76,5970,14,89,14,43.71
1.14,10.0,35.7,179.9,156.4,4,13,52.46,0.05,0.75,0.31,47.66,29,8.37,6,41.5,8652,16,85,17,33.02
8.32,250.1,433.4,119.9,81.7,9,4,95.19,2.72,2.78,2.63,88.36,63,8.21,3,91.27,16532,32,257,34,87.46
5.43,183.8,298.3,202.3,103.0,8,9,64.2,1.92,2.07,1.14,68.37,43,7.2,6,63.88,13452,26,121,23,60.65
6.81,215.0,343.1,128.1,79.8,8,6,65.72,3.37,1.72,1.87,58.17,59,9.25,2,83.75,14943,30,210,29,66.09
2.15,12.6,50.1,250.1,100.5,4,11,40.59,1.1,0.16,0.87,41.1,23,5.81,8,39.17,3551,11,96,4,21.19
3.23,107.8,139.9,279.7,91.3,6,13,54.41,1.89,1.0,0.43,62.17,32,6.0,6,39.88,6199,10,27,6,41.34
3.52,129.5,175.5,170.6,116.3,6,11,71.84,2.32,0.81,0.84,59.51,20,8.01,4,56.61,8617,20,37,14,50.34
2.71,80.2,158.2,260.5,106.1,4,13,43.08,0.86,1.63,0.87,49.3,24,6.71,5,49.13,6854,10,110,10,40.82
4.0,89.3,197.9,120.0,104.5,6,11,50.43,1.44,0.99,0.97,67.42,40,5.36,3,63.19,7860,19,180,25,47.28
4.79,163.1,285.3,149.0,81.5,7,6,75.53,2.16,1.17,1.67,77.2,52,7.35,5,81.55,16507,31,204,31,72.14
4.62,140.3,212.5,93.5,75.4,9,5,60.18,1.08,1.34,1.0,73.39,64,7.34,4,78.68,14131,31,204,29,70.21
5.24,175.0,277.8,132.6,69.1,8,7,62.88,2.22,1.34,1.3,72.79,51,7.28,3,55.62,12365,31,178,26,69.64
3.61,99.6,178.7,297.4,138.8,6,11,48.93,1.66,1.17,0.58,51.26,15,4.0,6,60.3,6574,13,113,16,31.46
5.25,159.9,248.0,159.8,83.4,8,11,69.95,2.47,1.8,0.95,53.28,53,7.31,6,74.68,10051,27,125,19,68.53
4.97,150.3,258.4,224.6,88.6,4,14,54.84,1.9,1.06,1.82,67.1,39,7.88,3,48.42,9053,15,92,16,52.74
4.68,138.9,230.9,134.9,54.0,9,7,60.61,1.16,1.21,1.24,70.77,44,6.21,5,62.45,13662,28,187,29,64.81
4.74,126.0,209.5,162.4,76.4,9,6,67.23,2.2,1.47,1.2,67.71,51,6.63,5,54.16,12521,32,196,29,72.24
7.29,200.4,336.4,143.7,0.0,13,4,87.52,2.15,2.46,1.8,85.61,67,7.12,2,88.2,19735,43,297,33,90.62
6.57,252.8,359.6,199.3,60.7,11,9,62.02,1.95,1.81,1.38,77.44,61,6.17,3,77.29,12105,29,230,32,68.52
5.36,177.7,278.9,134.2,60.0,6,6,62.47,1.55,2.14,1.47,52.95,61,8.5,4,72.6,11414,27,202,20,64.63
4.59,139.5,276.9,207.4,82.2,6,11,66.31,2.38,1.48,1.09,61.93,37,6.28,6,47.99,10796,21,114,23,57.02
4.25,141.2,237.8,212.7,73.4,4,14,42.94,2.16,2.1,1.15,59.51,43,7.42,6,63.58,11591,20,104,19,46.33
5.3,160.5,279.0,163.5,84.6,9,10,76.72,2.32,1.16,1.31,74.34,48,7.27,5,61.26,12984,21,167,20,64.99
2.67,68.0,148.0,161.5,153.2,2,13,44.24,1.09,0.55,1.0,41.74,1,6.22,9,34.25,4386,8,101,4,25.81
5.2,140.9,235.1,68.6,96.9,7,10,77.4,2.15,1.25,0.93,80.41,61,9.47,3,77.46,11349,35,180,33,66.71
4.34,174.0,233.8,164.5,51.5,9,9,73.31,1.59,1.37,1.03,77.33,70,7.78,3,68.92,13546,31,267,29,70.59
5.78,146.4,260.3,170.6,42.1,9,10,62.51,1.93,0.99,1.75,74.84,50,7.0,5,65.98,13222,28,240,29,69.2
4.06,117.2,230.7,223.0,92.6,8,11,52.8,0.5,1.43,0.78,66.65,46,8.79,6,50.07,12049,26,165,22,52.94
4.85,147.2,242.5,142.0,55.5,8,11,69.74,0.95,1.71,1.14,75.89,65,5.71,3,65.34,13024,30,191,23,66.21
6.04,186.3,307.4,171.7,92.8,6,12,61.04,2.07,1.47,2.1,66.33,44,7.75,6,64.3,11357,21,175,24,51.64
4.19,175.2,275.8,238.4,159.5,3,13,37.02,2.22,1.27,1.33,55.66,10,7.89,6,62.42,5986,9,90,9,43.23
6.91,212.3,381.9,162.5,54.2,13,5,66.04,2.67,2.65,1.92,81.07,61,8.04,2,80.67,19075,37,203,36,81.63
2.04,96.7,115.3,243.8,110.5,4,9,46.72,0.1,0.39,0.74,50.14,29,6.07,6,45.81,7113,11,92,13,33.13
3.22,103.8,177.4,193.9,118.4,5,11,55.07,0.78,0.55,1.01,56.44,44,7.83,4,49.41,9491,21,130,19,44.5
6.27,177.5,299.2,154.3,79.9,9,3,79.53,2.45,2.36,1.51,82.82,68,7.23,3,75.92,16672,34,227,25,76.2
3.69,116.2,168.3,293.3,124.6,3,12,55.47,1.22,0.47,0.8,61.48,21,8.14,6,48.95,5701,6,74,1,35.63
5.34,130.6,256.7,132.2,145.4,6,8,69.92,2.59,1.53,1.49,61.76,42,6.41,5,58.06,12331,18,196,26,59.5
2.12,33.7,114.8,283.1,155.9,4,18,22.13,0.88,0.48,0.9,42.06,10,5.34,9,44.28,2368,9,90,8,6.33
5.36,141.4,259.4,175.4,79.5,8,6,75.81,2.11,1.8,1.61,69.16,64,6.52,4,71.8,14293,30,195,23,59.8
6.86,165.8,309.4,136.1,50.1,11,7,69.9,3.39,2.04,2.01,73.14,53,7.16,4,81.72,16147,43,267,36,76.95
2.01,49.1,98.4,292.9,142.6,4,14,39.4,1.3,0.14,0.66,48.78,19,8.14,7,47.48,5669,6,24,8,23.02
8.39,222.4,385.3,169.3,76.2,12,7,76.45,3.19,2.7,1.87,73.57,63,8.29,3,83.02,19231,33,328,39,85.65
4.64,169.8,249.4,175.3,102.4,3,9,44.21,1.64,2.27,1.18,60.38,22,8.27,4,53.65,9339,14,115,17,44.16
6.9,170.4,346.3,175.5,82.9,7,9,77.18,2.57,2.0,1.64,72.68,80,6.83,5,79.1,16589,31,168,33,74.14
6.43,222.2,331.4,77.9,62.1,10,9,80.43,1.19,1.35,2.1,78.32,41,7.08,3,76.19,12224,23,185,27,77.32
6.79,160.9,334.7,96.7,21.6,12,2,83.06,3.22,2.25,2.44,69.0,72,7.88,3,77.43,16639,36,266,32,92.97
6.61,234.4,397.1,35.7,97.0,7,8,74.92,1.97,2.14,1.79,78.67,47,6.65,5,72.26,15465,32,224,32,79.08
4.59,118.2,192.7,204.2,94.0,5,9,52.23,1.82,1.41,1.68,52.13,30,6.72,5,62.86,7305,20,101,20,51.98
6.41,177.3,350.0,140.0,40.2,7,10,68.66,2.95,1.65,2.01,78.44,59,5.9,5,63.66,13920,31,198,26,69.78
3.4,95.0,154.9,200.5,122.5,8,8,58.85,1.25,0.0,1.23,64.1,35,7.84,4,53.43,9329,17,139,13,57.54
7.56,217.4,360.2,70.2,54.8,11,5,82.03,2.6,2.04,1.71,80.12,76,6.87,2,77.57,17304,35,216,33,81.8
3.02,128.2,178.5,149.5,121.0,9,12,73.85,1.16,0.64,0.57,75.44,38,5.51,5,72.38,12424,24,165,19,47.64
5.1,148.6,262.5,189.2,119.7,7,11,61.68,2.27,2.01,1.07,66.71,58,8.15,2,56.39,12954,31,211,23,59.79
2.17,92.3,87.3,168.9,140.5,5,10,56.93,1.06,1.5,0.58,60.7,15,6.72,6,37.11,4746,7,91,16,38.46
4.77,144.7,225.5,203.7,96.9,7,7,65.0,1.66,2.01,1.03,55.73,48,6.98,6,59.85,10905,25,170,25,57.75
3.6,57.3,120.1,148.1,83.6,8,13,76.21,1.9,0.7,0.89,79.6,53,7.98,5,71.34,10145,22,169,21,53.71
4.94,182.4,270.3,152.1,98.6,6,9,66.07,1.41,2.07,1.19,76.63,39,8.93,6,63.43,11180,25,107,16,53.48
6.26,174.7,291.2,104.0,67.5,9,9,66.34,2.13,1.5,1.28,69.35,56,8.89,2,68.35,15391,28,260,33,73.06
3.69,121.2,199.9,169.8,104.6,4,9,54.4,1.03,0.33,0.6,62.26,32,8.87,6,50.83,10285,21,121,20,55.05
2.78,57.7,132.1,289.7,185.7,3,15,27.73,1.07,1.35,0.79,46.27,13,6.16,6,30.37,3369,8,76,9,22.18
7.68,264.9,439.5,36.1,18.4,13,4,90.86,3.27,2.8,1.87,87.13,75,8.09,4,83.63,19620,39,227,33,100.0
4.23,123.7,196.3,209.5,57.7,6,9,49.25,2.12,1.78,0.76,75.93,41,7.3,5,71.81,9170,25,166,22,58.95
2.51,123.0,172.5,223.0,143.5,3,13,35.82,0.91,0.14,0.63,41.59,19,6.82,9,32.14,4716,12,117,11,18.86
2.81,50.1,147.6,218.7,87.3,6,12,30.25,1.2,1.26,0.45,53.9,26,5.95,5,52.48,7193,24,106,11,51.65
2.01,112.3,152.1,287.6,144.9,2,15,40.97,0.66,0.75,0.74,49.31,5,6.82,5,36.65,1900,10,41,10,26.75
3.67,131.1,207.9,190.3,79.1,8,10,57.53,2.05,0.87,0.91,67.13,48,8.2,4,58.4,12890,24,144,22,61.0
2.6,50.6,116.7,297.6,100.5,1,13,38.47,0.96,0.67,1.23,53.77,6,6.46,8,34.31,4865,8,29,6,16.14
3.2,80.1,150.9,204.0,183.5,2,12,42.71,1.44,1.2,0.33,57.35,14,6.69,8,46.19,7411,10,88,14,22.67
