study_hours_per_day,app_usage_minutes,idle_time_minutes,lms_logins_per_week,submission_offset_hours,completion_rate_percent,deadline_misses_30d,streak_days,avg_session_length_min,distraction_visits_per_day,sleep_hours,risk_level,is_procrastinator
3.01,116.3,74.7,5,0.7,55.6,5,5,41.7,15,5.47,Moderate,1
5.48,71.1,38.6,12,37.1,71.4,3,13,53.1,2,5.64,Moderate,0
4.65,179.2,44.6,8,32.4,67.8,6,12,38.8,7,7.34,Low,0
2.75,160.3,32.5,10,38.7,61.6,3,8,48.7,0,6.49,Moderate,0
1.62,112.3,34.0,10,2.9,62.0,8,8,34.8,6,5.67,High,1
2.89,188.4,32.7,10,18.3,43.2,6,5,33.0,15,6.05,Moderate,0
3.87,97.8,57.7,11,20.2,73.9,2,15,58.8,10,6.04,Moderate,1
3.85,163.9,16.3,11,6.4,68.5,6,9,49.6,10,6.16,Low,0
2.88,242.9,58.5,7,-11.4,54.1,10,6,38.8,18,5.53,High,1
5.79,131.4,9.7,11,29.8,72.9,5,10,36.9,5,5.81,Low,0
4.46,16.8,22.2,12,35.4,78.9,1,16,44.8,0,7.7,Moderate,0
1.78,250.0,77.8,6,-8.6,45.4,9,7,42.5,11,5.68,High,1
3.92,155.7,39.1,14,17.0,59.3,7,12,30.8,2,7.44,Moderate,1
1.93,209.7,40.0,4,-2.9,48.5,8,8,34.5,11,7.23,High,1
3.3,134.1,69.5,10,14.5,51.0,10,7,21.2,8,6.2,High,1
5.34,181.1,34.3,11,32.2,55.2,6,10,43.0,5,6.43,Moderate,0
3.9,140.5,57.0,9,18.5,71.6,3,11,41.2,5,6.91,Moderate,0
3.68,141.3,52.9,8,9.1,59.2,6,6,45.0,9,6.05,High,1
4.91,142.1,18.3,13,38.5,62.6,7,17,60.4,12,5.97,Moderate,0
2.6,159.5,56.7,11,12.3,58.3,5,13,38.0,5,6.35,Moderate,0
5.66,39.2,0.0,11,49.1,83.0,2,19,41.2,1,6.6,Low,0
5.13,104.4,54.0,11,13.4,69.9,7,17,51.9,5,7.84,Moderate,0
1.2,134.8,22.6,8,-10.0,60.9,5,14,44.1,7,5.84,Moderate,1
0.9,159.8,82.1,7,13.6,37.7,10,5,42.9,16,5.5,High,1
3.24,170.9,47.8,11,12.0,60.8,6,7,60.0,5,4.33,Moderate,0
3.47,216.6,74.4,4,-9.7,32.7,7,5,43.0,12,5.04,High,1
3.0,64.2,10.5,14,41.3,87.7,0,15,42.4,0,6.62,Low,0
3.82,170.9,30.2,10,33.8,62.7,6,11,29.7,5,5.75,Moderate,0
3.98,192.9,58.8,6,-8.2,42.6,11,3,34.1,11,6.15,High,1
4.86,144.7,57.5,6,30.9,47.6,5,13,53.8,2,6.22,Low,0
5.03,83.4,19.4,10,40.3,93.3,6,8,69.1,1,5.68,Low,0
3.65,84.3,41.3,10,47.1,58.5,2,14,56.2,2,6.27,Moderate,1
2.75,143.7,31.8,9,47.3,52.9,5,13,47.3,7,5.81,Moderate,0
4.75,124.8,39.8,9,48.2,71.4,5,16,40.3,8,5.7,Low,0
3.94,87.8,22.9,12,24.5,71.6,6,12,38.2,5,4.73,Low,0
5.54,159.0,64.8,10,29.9,61.7,5,12,30.8,6,6.04,Low,0
3.95,119.7,44.3,10,27.1,72.8,3,12,38.6,5,7.36,Moderate,1
4.88,131.7,27.3,8,3.4,55.8,7,6,46.0,10,6.68,Moderate,1
3.17,78.1,49.7,9,15.8,68.1,7,8,57.6,5,6.57,Moderate,1
3.48,245.2,35.1,7,11.9,56.4,9,6,28.4,12,5.96,High,1
1.9,203.8,55.6,4,-19.2,41.0,9,3,23.8,8,6.37,High,1
3.55,204.9,71.4,5,-19.6,39.6,7,0,38.0,17,4.64,High,1
4.4,180.5,35.8,6,0.7,50.4,6,6,31.4,3,5.13,Moderate,1
1.7,134.5,75.5,7,17.3,59.9,10,11,13.8,7,6.46,Moderate,1
2.85,247.9,38.5,6,-4.2,30.5,12,8,45.2,14,6.36,Moderate,1
3.85,184.4,86.3,5,0.0,41.2,9,5,31.8,11,7.06,Moderate,1
3.5,154.8,41.9,3,19.3,42.2,8,4,34.0,11,6.18,High,1
4.3,216.6,52.7,8,-2.1,53.0,7,9,25.2,5,6.45,High,1
2.64,170.8,29.5,8,16.0,49.6,6,12,9.3,11,7.02,Moderate,1
1.97,253.6,32.3,6,18.5,53.7,6,9,27.9,13,4.96,High,1
6.59,40.8,0.0,14,39.6,72.9,2,18,31.6,0,7.6,Low,0
5.1,132.5,26.4,8,48.5,82.3,5,8,38.7,9,4.31,Moderate,0
4.22,106.9,60.3,8,28.4,67.6,6,8,22.1,10,7.12,Low,0
3.01,190.6,7.9,9,21.7,83.8,5,7,54.5,6,6.16,Low,0
5.23,142.1,38.9,12,43.3,81.8,1,17,51.4,4,8.07,Low,0
6.18,87.0,18.9,10,15.5,64.7,3,13,24.9,4,7.11,Low,0
1.32,247.3,41.3,9,-9.1,41.4,10,3,37.0,10,5.76,High,1
5.13,163.6,39.5,9,26.4,64.1,4,3,57.3,10,7.3,Moderate,0
1.3,265.1,53.9,1,-4.9,14.6,9,0,17.9,10,5.64,High,1
7.37,111.8,22.8,12,26.3,92.4,4,18,74.1,1,6.92,Low,0
3.27,238.4,32.8,8,-5.6,56.0,7,5,31.3,10,6.32,Moderate,1
4.86,119.4,45.6,9,5.8,75.6,5,12,48.1,8,5.39,Low,0
4.25,224.6,45.4,9,11.5,32.7,8,5,34.7,12,7.01,Moderate,1
0.54,227.7,64.2,4,-14.7,41.1,10,6,27.8,8,6.63,High,1
4.59,95.9,14.2,10,44.5,69.4,3,12,44.8,0,6.72,Low,0
5.35,187.9,26.7,10,26.3,59.8,7,14,34.5,4,5.91,Moderate,0
5.32,84.9,26.1,11,53.3,84.9,0,18,53.5,0,5.97,Moderate,0
3.85,169.6,41.2,9,24.1,57.4,5,5,44.6,13,5.51,Moderate,0
4.26,145.2,16.2,8,-5.1,57.6,7,3,43.6,12,7.61,Moderate,1
3.29,145.1,29.2,9,18.2,66.0,4,9,26.6,7,6.23,Moderate,1
2.29,192.8,42.5,10,4.9,52.7,8,7,42.1,3,6.51,Moderate,1
1.68,161.3,61.3,5,35.2,44.8,8,4,25.3,7,5.71,Low,0
4.17,135.0,44.4,8,26.6,63.0,8,7,38.5,8,6.35,Moderate,1
3.49,127.9,41.4,10,9.9,55.1,4,13,25.2,9,7.11,Low,0
4.06,206.6,82.6,5,46.7,51.1,5,6,37.1,11,6.22,High,1
3.68,81.9,38.6,9,33.8,72.0,4,11,49.8,8,7.22,Moderate,1
6.24,89.3,28.8,12,45.1,80.8,0,20,51.0,0,7.01,Low,0
4.25,82.6,23.2,9,37.0,74.3,7,9,57.1,0,6.95,Low,0
2.91,203.8,36.7,8,-2.2,71.4,8,4,24.5,6,5.7,Moderate,1
5.03,139.3,21.8,11,13.6,77.0,3,19,30.1,6,7.13,Moderate,0
4.05,56.2,42.9,12,5.1,77.1,5,13,33.5,3,6.21,Low,0
2.61,195.5,44.5,7,16.9,39.1,9,5,32.3,6,5.92,High,1
5.05,75.0,15.9,11,49.7,84.3,2,12,45.0,0,8.25,Low,0
3.14,147.8,19.2,8,19.9,49.4,7,4,20.9,4,6.72,Moderate,0
2.63,207.6,61.0,7,24.1,46.7,8,8,29.1,10,5.82,High,1
4.89,185.4,54.6,6,25.5,73.4,4,11,34.4,2,5.95,Moderate,1
2.56,139.8,51.0,5,11.5,50.3,6,10,25.3,10,7.14,Moderate,1
5.26,185.6,24.7,13,21.4,59.4,6,11,46.4,3,6.05,Moderate,0
4.75,122.2,36.0,15,35.8,65.5,4,11,54.9,1,5.63,High,1
5.4,134.8,31.0,8,16.5,50.0,8,14,34.6,12,6.56,Moderate,0
0.38,190.9,66.3,6,1.1,27.3,10,0,40.1,17,5.94,High,1
4.83,106.4,40.0,7,12.9,71.9,2,13,54.9,0,5.12,Low,0
4.03,135.6,21.1,11,27.9,92.7,2,14,34.1,2,7.02,Low,0
4.72,174.4,32.6,10,17.8,63.8,2,14,48.9,11,6.27,Moderate,1
2.33,172.0,32.7,6,4.5,50.6,8,7,40.9,3,5.75,High,1
2.12,199.2,45.7,4,10.0,39.8,10,0,24.3,7,7.4,High,1
4.14,189.5,41.4,9,45.0,58.6,10,3,32.6,6,5.2,Moderate,0
0.35,176.3,40.9,8,18.2,42.1,9,5,54.7,4,6.21,High,1
6.08,90.6,56.5,13,50.7,75.6,6,10,60.0,0,8.03,Low,0
2.75,137.8,36.9,10,16.2,73.6,5,9,31.5,13,6.49,Moderate,1
3.92,64.8,20.2,10,28.2,86.9,6,13,33.6,3,6.73,Low,0
4.11,153.9,13.3,12,-8.8,62.1,5,9,16.3,7,6.36,Moderate,1
4.2,247.1,45.8,7,-4.6,40.5,10,1,28.5,8,7.29,High,1
5.16,140.5,26.0,10,2.5,57.8,6,4,34.5,7,7.1,Moderate,0
3.3,267.9,71.3,5,4.7,29.2,10,3,15.9,10,5.47,High,1
3.01,180.0,43.5,6,8.1,58.2,6,5,51.5,11,5.3,High,1
5.11,87.2,23.8,9,22.8,58.0,7,11,44.2,8,7.39,Moderate,1
0.0,140.0,86.8,4,-11.8,30.5,9,3,33.6,11,5.51,High,1
4.03,112.4,42.1,10,2.2,67.1,7,9,26.0,6,8.01,High,1
2.61,132.6,54.9,10,9.5,51.8,7,5,44.6,5,5.45,Moderate,0
4.11,198.8,40.9,8,1.6,41.2,9,9,43.7,9,5.69,Moderate,0
0.0,319.8,57.1,6,-29.0,22.8,11,3,17.9,15,6.83,Moderate,1
3.41,88.3,57.4,11,37.9,85.6,2,10,45.6,5,5.86,High,1
4.45,142.9,60.3,8,0.7,58.7,7,7,7.1,8,7.07,Moderate,1
2.73,186.7,33.2,5,20.7,56.1,9,5,18.4,9,7.9,Moderate,0
3.04,177.3,39.2,9,19.5,44.8,7,7,40.6,4,5.94,High,1
4.52,124.5,28.5,7,30.8,69.1,4,13,35.8,3,6.04,Moderate,0
4.63,158.4,83.2,10,17.2,67.6,5,4,34.2,8,6.26,Low,0
2.63,245.7,63.6,5,-0.8,49.4,13,0,21.3,14,4.98,High,1
4.14,125.0,49.0,11,24.8,58.9,4,9,56.6,12,6.79,Low,0
5.87,140.8,13.0,12,27.6,69.1,6,14,33.3,7,7.04,Low,0
4.23,160.6,40.9,9,22.4,75.5,2,16,36.3,1,6.4,Low,0
4.16,100.3,26.5,9,25.9,83.6,3,16,33.0,10,6.18,Moderate,0
5.14,181.6,24.6,11,5.0,72.3,6,6,43.0,4,6.69,Low,0
3.03,178.5,45.6,7,16.4,78.8,4,12,34.4,5,7.18,Moderate,0
0.05,191.1,53.6,3,6.1,40.8,11,0,32.6,13,6.44,High,1
4.01,104.6,26.6,10,27.1,72.9,5,19,28.9,0,7.03,Low,0
4.33,139.1,53.1,10,-3.0,61.3,5,5,29.3,7,6.45,Low,0
3.62,254.2,46.6,4,-14.5,32.8,6,2,41.0,10,4.43,Moderate,1
2.46,94.4,43.3,8,14.5,71.3,5,11,40.0,11,6.88,Moderate,1
4.83,109.0,34.4,13,34.7,82.4,1,20,43.0,4,6.55,Moderate,0
3.21,171.3,17.0,10,3.8,55.8,5,13,45.8,9,5.9,Low,0
3.97,146.4,12.4,9,10.6,59.6,5,10,41.3,8,5.97,Moderate,1
1.69,220.4,51.8,8,15.8,51.6,7,6,40.8,7,5.79,High,1
0.99,212.0,73.7,6,13.1,46.8,9,12,44.0,11,6.98,High,1
1.38,199.1,64.8,7,-3.4,25.0,9,3,28.9,11,5.18,High,1
1.99,223.3,51.2,8,37.1,30.1,10,11,24.5,14,6.3,High,1
1.14,305.0,84.9,10,6.4,38.0,10,2,18.6,11,5.17,High,1
2.19,210.8,53.0,9,1.3,43.0,9,5,31.1,7,7.14,Moderate,0
3.88,111.3,46.4,11,25.4,58.8,1,1,57.9,6,6.25,Moderate,1
3.02,166.5,41.3,7,26.9,60.9,4,11,33.9,6,6.01,Moderate,0
4.27,125.3,22.1,6,27.4,59.8,6,8,45.7,6,5.56,High,1
2.41,200.2,56.8,13,18.8,57.7,7,7,50.0,7,6.97,Low,0
3.86,196.0,41.1,11,9.6,56.9,5,9,52.5,6,7.73,Moderate,1
2.38,204.3,76.6,7,-3.6,49.3,8,14,31.7,7,5.37,High,1
2.05,145.2,59.3,9,18.0,53.1,6,8,47.1,11,5.75,Moderate,1
3.72,160.4,52.0,9,19.7,66.9,4,13,46.7,10,5.52,Moderate,1
0.78,293.7,58.8,3,-6.4,23.7,8,2,15.2,17,4.56,High,1
4.42,163.0,60.8,9,-3.4,65.7,9,8,49.8,14,5.91,Moderate,1
5.95,84.0,0.0,15,53.2,85.1,1,15,44.5,0,7.58,Low,0
1.04,207.8,45.6,8,0.1,40.9,6,5,35.3,9,5.83,High,1
3.34,111.0,18.2,11,31.8,62.1,4,13,28.7,4,6.3,Low,0
4.88,60.2,28.0,16,65.7,85.4,4,19,67.4,1,6.67,Moderate,0
3.66,241.4,22.1,9,21.9,63.9,8,9,37.6,9,6.34,Low,0
3.44,156.4,54.1,10,2.9,66.5,5,7,47.3,6,6.8,Moderate,0
6.0,174.8,42.2,11,23.2,80.6,6,8,22.3,11,7.16,Moderate,0
2.78,97.8,70.9,6,3.6,70.7,5,12,46.6,3,6.78,Low,0
3.58,120.8,29.4,8,16.7,70.1,3,17,52.6,10,8.89,Low,0
4.01,72.9,31.8,9,33.5,72.7,2,16,52.4,9,5.65,Moderate,0
0.29,188.4,41.1,6,15.1,31.8,9,4,26.2,15,6.31,High,1
3.19,113.1,27.3,9,48.1,60.7,5,13,46.5,0,6.51,Low,0
3.51,140.2,19.7,9,32.1,69.7,5,10,51.9,8,7.34,Moderate,0
5.02,111.1,19.7,14,14.5,70.8,4,17,53.8,7,5.94,Low,0
5.65,196.5,30.1,15,22.1,66.9,5,7,33.7,3,6.59,Moderate,1
4.48,54.3,15.4,14,44.2,94.2,0,14,69.4,1,7.19,Low,0
3.3,195.5,39.7,2,-3.2,34.4,12,8,30.4,12,5.3,High,1
5.61,78.9,15.4,8,43.8,82.3,6,15,47.0,4,7.24,Low,0
3.59,130.0,45.1,10,23.2,63.5,6,12,21.4,10,4.93,Moderate,1
4.89,55.0,0.0,15,54.1,87.1,1,18,33.5,0,6.38,Low,0
5.95,165.3,65.6,7,7.3,58.7,6,10,44.4,11,6.68,Moderate,1
1.41,132.6,61.3,7,10.9,62.3,9,8,37.2,10,8.22,High,1
3.48,131.9,32.9,11,33.1,67.7,6,9,47.9,5,6.31,Low,0
7.43,84.7,28.8,15,25.1,78.3,1,19,47.5,0,7.45,Low,0
3.43,170.5,41.9,12,28.5,58.9,6,15,42.0,14,5.65,Moderate,1
2.21,147.1,48.4,9,18.4,54.9,6,13,38.6,12,6.94,Moderate,0
2.77,262.6,97.1,1,-13.9,17.1,12,3,5.0,16,5.52,High,1
7.26,94.3,15.6,13,57.6,84.6,3,13,44.7,6,7.09,Low,0
6.84,115.0,37.6,11,38.4,100.0,5,16,57.1,0,6.86,Low,0
2.55,206.4,56.8,5,-6.6,49.9,8,7,31.9,12,5.68,High,1
3.86,94.3,10.5,12,17.7,75.7,5,10,42.9,5,7.5,Low,0
3.54,81.6,28.1,12,10.7,50.3,6,13,33.2,7,6.94,Low,0
7.36,80.5,11.8,10,29.8,74.5,5,15,36.6,0,7.81,Low,0
6.93,68.5,12.2,8,32.4,81.4,3,14,43.9,3,6.99,Low,0
5.67,131.6,42.5,10,10.2,79.6,4,18,42.6,2,6.94,Low,0
5.81,0.0,1.0,14,38.8,78.3,2,17,41.3,2,5.6,Low,0
2.9,239.4,46.3,6,6.4,36.7,11,0,47.1,17,6.34,High,1
6.22,76.4,46.9,8,12.6,71.5,3,17,40.1,5,5.21,High,1
0.0,223.1,55.9,4,-8.2,30.6,10,4,32.6,8,3.95,High,1
3.4,171.9,53.7,7,14.2,61.1,8,7,27.3,9,5.8,High,1
0.6,217.9,64.2,4,-24.4,36.0,12,0,25.0,7,5.92,High,1
3.25,177.1,60.0,12,4.4,45.1,8,5,13.1,6,5.84,High,1
2.03,270.5,76.9,8,-17.9,30.5,10,0,23.0,12,5.31,High,1
2.62,255.0,34.3,6,26.5,64.6,11,7,32.6,11,6.05,Moderate,1
2.43,206.0,59.7,6,2.4,41.3,7,1,35.5,15,7.14,High,1
4.3,170.8,52.3,12,41.7,54.8,6,13,51.7,3,5.71,Moderate,0
0.73,203.8,59.6,8,-14.1,38.3,11,0,35.8,6,5.6,High,1
5.3,61.7,10.0,14,45.3,91.7,2,18,48.2,0,7.81,Low,0
4.58,128.3,28.2,6,16.4,50.3,4,10,42.4,0,4.53,Moderate,1
6.04,73.7,30.2,10,42.4,67.6,4,14,43.3,5,7.22,Low,0
4.92,69.7,31.7,17,24.1,67.4,3,22,64.6,3,7.28,Low,0
0.89,202.9,59.2,4,16.6,43.1,10,8,25.3,10,6.35,High,1
4.8,169.8,22.9,9,36.2,76.4,6,12,52.7,7,4.92,Low,0
4.43,161.5,44.2,8,-5.2,66.3,8,15,44.4,11,6.14,Moderate,1
5.49,84.0,19.3,11,46.6,90.3,4,17,67.8,5,4.94,Low,0
4.89,187.6,35.5,10,16.5,67.7,6,8,55.2,6,7.77,Moderate,1
5.63,21.3,20.3,11,50.7,92.3,1,19,47.0,0,6.58,Low,0
4.07,132.1,29.0,10,13.7,73.4,6,14,51.3,2,6.08,Low,0
4.18,151.7,47.3,11,-13.2,72.6,7,12,42.3,8,5.33,Moderate,0
2.6,172.7,47.8,9,21.9,44.9,13,0,17.8,13,5.46,High,1
3.86,107.6,17.2,8,9.6,86.2,3,11,57.0,2,6.08,Moderate,1
2.65,161.2,62.8,6,10.2,48.2,9,9,39.6,5,5.85,Moderate,1
2.13,244.1,47.8,8,16.3,31.9,8,6,32.4,9,3.49,High,1
2.79,297.0,64.4,4,-12.9,39.5,7,7,31.0,9,4.92,High,1
4.05,63.1,21.5,8,20.6,47.0,4,17,47.7,0,5.85,Moderate,1
2.9,234.8,45.7,8,18.1,43.1,8,3,47.4,5,5.86,Moderate,1
4.18,122.1,46.8,12,20.0,48.5,6,8,42.9,8,6.11,High,1
3.77,210.2,33.7,8,-3.7,75.8,5,9,37.5,6,6.61,High,1
5.51,115.2,27.5,11,40.1,86.7,3,17,45.1,11,5.49,Low,0
1.16,219.0,59.9,5,1.1,31.5,11,7,28.7,15,5.12,High,1
2.29,225.8,59.4,1,15.6,23.6,11,8,24.5,13,5.12,High,1
1.26,241.1,41.0,6,17.2,50.1,8,6,32.6,12,5.89,High,1
4.11,119.2,20.6,9,41.5,79.8,6,15,46.5,0,6.82,Low,0
3.56,112.5,60.1,9,39.8,71.0,3,16,28.7,6,7.51,Low,0
5.68,199.9,21.2,12,13.1,65.0,5,9,44.4,6,5.57,Low,0
2.42,100.1,46.6,9,21.1,48.2,5,8,49.7,4,6.24,High,1
3.78,162.1,32.7,12,-10.7,52.3,7,7,36.4,6,6.31,Moderate,1
5.93,164.9,44.1,9,47.4,57.3,4,13,39.1,3,5.83,High,1
2.74,147.2,51.6,5,5.2,55.2,8,4,33.7,9,6.08,Moderate,1
2.47,232.7,112.2,7,4.3,51.9,10,6,22.7,13,6.39,High,1
1.58,214.2,60.2,9,13.5,43.7,10,7,22.8,14,5.86,Moderate,1
3.87,52.0,68.5,9,11.2,60.6,6,10,35.8,6,6.92,Moderate,0
6.03,166.6,32.1,8,31.6,71.4,4,11,48.2,4,6.89,Moderate,1
4.15,125.9,7.2,12,1.5,73.0,4,10,53.5,8,7.12,Low,0
2.98,182.1,22.9,11,-6.0,69.5,2,11,31.1,8,6.85,Low,0
2.08,256.4,29.8,9,-2.4,56.6,8,2,39.4,7,6.57,Moderate,1
1.73,140.6,54.9,8,7.9,50.7,12,2,59.0,9,5.98,Moderate,1
6.46,50.0,13.6,14,33.6,86.4,2,20,61.6,1,7.9,Low,0
5.94,64.9,24.8,9,30.5,74.4,6,11,39.8,9,5.41,Low,0
5.72,203.2,56.0,11,44.6,82.5,4,12,40.5,10,6.41,Low,0
5.75,51.4,46.9,9,26.0,62.6,2,13,43.8,4,5.61,Moderate,1
3.1,148.2,9.5,10,13.3,44.2,5,15,52.8,13,5.57,Moderate,0
3.1,193.7,71.9,11,24.5,53.7,8,7,49.3,11,5.85,Moderate,0
1.01,232.2,56.2,5,-6.5,33.5,10,0,34.6,11,4.36,High,1
4.0,178.5,27.9,11,5.2,55.7,5,11,28.8,2,6.34,Moderate,1
3.83,149.8,45.5,7,31.0,61.4,5,7,39.8,7,7.3,Low,0
0.91,312.8,49.1,8,-19.3,41.2,11,4,43.5,10,5.75,Moderate,1
3.41,134.8,37.0,11,29.9,74.4,0,15,58.2,10,7.8,Low,0
6.85,87.2,0.0,12,32.0,92.3,1,18,62.3,3,6.55,Low,0
2.65,220.9,20.4,8,-7.3,44.8,8,13,27.3,12,5.18,High,1
3.03,243.8,74.8,3,-7.6,38.4,11,8,28.5,11,4.92,High,1
1.47,163.4,60.5,6,-12.5,40.9,8,7,39.7,11,6.77,High,1
5.62,0.0,44.1,8,53.3,79.3,3,21,53.9,0,6.83,Moderate,0
3.56,111.4,60.3,9,16.6,64.6,5,9,39.0,4,6.03,Low,0
4.35,131.9,14.5,15,13.0,77.7,6,13,43.5,11,5.99,Moderate,0
5.7,51.1,25.9,12,42.2,80.7,3,14,33.5,1,7.24,Moderate,0
4.17,214.7,48.5,9,-4.7,51.0,5,8,37.0,7,5.93,Moderate,1
4.39,154.7,43.5,10,36.6,68.5,4,13,48.3,7,5.89,Low,0
1.08,235.0,45.9,6,8.9,33.7,9,5,21.3,8,5.06,High,1
4.97,112.9,39.7,13,29.0,76.2,2,17,63.7,0,7.67,Low,0
3.18,232.2,51.0,9,-0.8,50.0,10,7,14.3,6,7.13,High,1
4.0,20.3,29.2,14,39.5,70.5,3,17,41.7,4,6.4,Low,0
4.41,41.6,37.3,11,65.6,87.2,1,21,69.3,0,7.0,Low,0
2.31,195.3,47.0,6,-14.1,44.6,10,0,25.2,14,6.44,High,1
2.99,119.7,40.1,7,10.5,66.5,6,13,56.4,4,6.07,Low,0
5.74,95.1,33.6,7,24.7,70.4,5,13,45.4,8,6.04,Low,0
5.37,75.6,23.5,9,48.7,68.7,5,18,48.2,9,7.17,Low,0
2.14,211.0,63.5,11,11.0,55.2,9,3,40.1,11,6.23,Moderate,1
5.39,216.7,29.9,10,20.8,74.9,4,11,36.6,7,7.25,Low,0
5.6,178.6,41.1,6,29.5,64.0,2,12,59.5,9,6.45,Low,0
6.6,175.4,13.1,5,-9.4,60.7,5,12,55.8,3,7.43,Low,0
4.11,108.2,41.1,10,34.6,51.3,7,12,33.2,8,6.11,High,1
3.94,92.5,19.7,14,43.4,97.6,1,15,27.0,2,6.59,Low,0
4.65,192.3,50.1,9,-0.1,77.3,5,11,53.3,6,5.66,Moderate,0
4.3,176.9,55.2,8,42.6,48.6,7,8,39.6,14,7.62,Moderate,0
2.98,179.5,44.1,9,14.9,59.7,8,7,55.6,8,5.88,Moderate,1
4.22,213.6,47.3,9,1.4,51.9,7,5,29.8,4,8.18,Moderate,0
4.64,100.9,52.6,13,16.8,63.9,6,19,31.8,4,6.12,Low,0
3.55,124.1,46.7,7,24.0,49.4,7,9,40.4,2,5.61,Moderate,1
5.93,154.7,5.3,12,26.2,71.7,2,16,64.3,5,6.61,Moderate,0
2.74,148.1,47.6,13,22.5,53.2,5,10,36.0,11,6.81,Moderate,0
4.02,69.9,10.3,17,59.8,90.6,1,20,43.5,0,6.66,Low,0
4.01,143.4,16.5,8,15.5,49.3,6,5,41.9,12,6.73,Moderate,0
3.54,145.7,35.7,7,13.1,72.0,7,10,43.9,5,4.73,Moderate,0
4.0,115.8,51.0,10,-14.7,52.5,8,7,46.9,10,6.89,Moderate,1
1.41,134.2,48.1,5,-5.9,46.7,6,6,51.6,6,7.03,Moderate,0
3.03,202.2,57.3,8,29.0,39.4,6,3,41.4,6,5.78,High,1
3.0,149.2,32.8,13,6.2,64.8,6,8,27.2,5,6.57,Low,0
5.01,164.1,45.1,11,8.1,49.7,10,9,33.3,13,6.29,Moderate,1
4.09,143.5,34.3,11,16.0,75.9,5,14,36.8,2,6.46,Moderate,0
3.46,186.9,60.0,8,2.2,70.5,6,11,51.8,11,6.78,Moderate,0
4.67,201.2,40.7,9,-1.8,50.7,9,4,46.1,17,5.58,Low,0
0.71,228.6,84.4,3,-20.7,44.7,11,4,20.3,11,5.6,High,1
2.63,186.0,44.4,7,7.9,46.1,10,6,32.5,6,4.89,High,1
3.41,198.8,43.8,9,-10.0,45.0,10,6,28.6,11,5.37,Moderate,1
1.93,208.7,38.8,8,0.6,36.4,6,0,43.7,13,5.75,Moderate,0
4.28,213.9,44.0,9,15.8,60.5,8,6,18.1,8,6.04,Moderate,0
4.52,28.8,9.1,11,52.0,88.4,4,15,62.4,0,7.08,Low,0
4.73,50.0,20.5,7,36.8,58.8,5,15,39.0,5,6.33,Low,0
0.15,237.9,84.9,7,-0.7,40.8,12,0,26.5,12,6.35,High,1
5.61,125.2,16.1,15,38.0,71.6,3,18,50.1,4,4.97,Low,0
4.91,116.8,0.0,8,30.9,56.9,5,11,30.2,7,7.66,Low,0
7.37,127.7,19.6,9,14.0,85.7,5,16,54.6,7,6.35,Low,0
3.18,202.6,62.6,7,23.0,57.9,5,7,23.3,8,7.07,Moderate,1
4.78,125.5,42.8,10,23.7,69.2,5,12,45.3,6,6.1,Low,0
1.93,330.4,56.3,3,12.4,45.4,10,3,23.3,8,4.47,High,1
2.1,132.3,45.1,7,12.4,56.1,8,16,45.0,6,7.28,Moderate,1
2.92,185.6,58.4,4,5.4,43.8,11,6,38.8,13,5.69,High,1
2.36,214.1,30.6,9,31.1,53.1,6,5,63.7,9,5.2,High,1
0.54,232.2,46.4,8,-21.0,30.7,13,8,31.4,15,5.79,Moderate,1
3.36,117.8,47.3,10,35.0,49.3,9,11,23.4,12,8.12,Moderate,0
2.35,133.3,43.8,9,4.6,47.5,8,12,30.5,9,5.46,Moderate,0
1.9,217.2,78.6,7,5.9,45.8,9,5,28.8,11,5.79,High,1
4.63,169.2,53.3,6,36.3,47.9,7,6,32.7,0,7.83,Moderate,1
3.31,169.9,49.5,4,10.4,47.0,7,13,31.5,12,6.14,Moderate,1
3.19,94.7,28.3,13,61.1,76.0,5,14,64.3,1,7.7,Low,0
4.75,102.1,33.2,14,32.8,57.5,4,19,60.3,5,7.68,Low,0
1.88,186.8,65.4,3,-14.8,39.5,8,5,29.4,14,7.26,High,1
1.13,227.7,68.5,4,-3.2,27.1,11,2,23.0,11,5.29,High,1
3.44,211.5,68.8,7,28.3,44.4,11,6,28.9,14,5.04,High,1
1.89,194.9,38.4,9,8.8,35.7,7,6,31.0,13,5.47,Moderate,0
4.22,149.4,20.0,12,46.2,81.1,3,12,46.2,4,5.93,Moderate,0
4.63,85.1,12.9,13,33.3,80.9,6,13,49.7,10,6.39,Low,0
4.76,62.6,35.9,12,23.0,64.0,2,17,44.7,0,6.82,Low,0
4.1,218.0,40.1,6,7.9,49.2,8,9,24.9,7,5.83,High,1
5.63,46.7,7.6,13,22.2,96.9,2,20,46.2,2,6.6,Low,0
3.75,268.0,44.2,7,3.2,45.0,10,3,36.1,7,6.39,High,1
2.55,165.6,32.8,7,-9.9,46.8,12,6,45.2,8,5.93,High,1
1.99,247.6,83.9,3,-2.4,33.6,13,3,32.0,10,6.39,High,1
5.26,136.9,16.5,10,49.7,74.5,4,14,43.7,3,8.01,Low,0
2.83,173.7,58.6,8,4.6,43.1,9,8,32.6,13,5.61,Moderate,1
2.54,286.5,32.0,8,9.1,44.8,8,0,19.7,15,6.5,High,1
5.62,27.4,2.9,12,57.7,92.4,1,25,57.9,1,7.95,Low,0
3.91,156.5,63.3,10,1.5,48.4,3,15,30.7,17,5.33,Moderate,1
